Define Name,Type,Address,Description
SV-0CH1,WORD,{EtherLink2}1@RW-0000,
SV-0CH2,WORD,{EtherLink2}1@RW-0001,
SV-0CH3,WORD,{EtherLink2}1@RW-0002,
SV-0CH4,WORD,{EtherLink2}1@RW-0003,
SV-0CH5,WORD,{EtherLink2}1@RW-0004,
SV-0CH6,WORD,{EtherLink2}1@RW-0005,
SV-0CH7,WORD,{EtherLink2}1@RW-0006,
SV-0CH8,WORD,{EtherLink2}1@RW-0007,
PV-0CH1,WORD,{EtherLink2}1@RW-0268,
PV-0CH2,WORD,{EtherLink2}1@RW-0269,
PV-0CH3,WORD,{EtherLink2}1@RW-026A,
PV-0CH4,WORD,{EtherLink2}1@RW-026B,
PV-0CH5,WORD,{EtherLink2}1@RW-026C,
PV-0CH6,WORD,{EtherLink2}1@RW-026D,
PV-0CH7,WORD,{EtherLink2}1@RW-026E,
PV-0CH8,WORD,{EtherLink2}1@RW-026F,
MAIN_SV,WORD,$M0100,MAIN SV
MODULE_OFFSET,WORD,$0100,
MODULE_OFFSET_SUB,WORD,$0101,
MODULE_SELECTED,WORD,$0010,DROP DOWN SELECT MODULE
MODULE_SELECTED_CHN,WORD,$0011,DROP DOWN SELECT CHANNEL
INPUT_SNR_TYPE,WORD,{EtherLink2}1@RW-0028,
SV_UPR_LMT,WORD,{EtherLink2}1@RW-0008,UPPER LIMIT
SV_LWR_LMT,WORD,{EtherLink2}1@RW-0010,LOWER LIMIT
INPUT_ERR_OFFSET,WORD,{EtherLink2}1@RW-0018,INPUT ERR SETTING
INPUT_ERR_GAIN,WORD,{EtherLink2}1@RW-0020,INPUT ERR SETTING
OUT1_CNTR,WORD,{EtherLink2}1@RW-00C8,OUT SETTING
OUT2_CNTR,WORD,{EtherLink2}1@RW-00D0,
OUT1_UPR_LMT,WORD,{EtherLink2}1@RW-00E8,
OUT1_LWR_LMT,WORD,{EtherLink2}1@RW-00F0,
OUT1_CYC_TMR,WORD,{EtherLink2}1@RW-00F8,
OUT2_UPR_LMT,WORD,{EtherLink2}1@RW-0128,
OUT2_LWR_LMT,WORD,{EtherLink2}1@RW-0130,
OUT2_CYC_TMR,WORD,{EtherLink2}1@RW-0138,OUT SETTING
OUT1_SNSR_FAIL_PWR_LVL,WORD,{EtherLink2}1@RW-0100,"IF SENSOR ABNORMAL,SET TO FIX SV ?"
OUT2_SNSR_FAIL_PWR_LVL,WORD,{EtherLink2}1@RW-0140,"IF SENSOR ABNORMAL,SET TO FIX SV ?"
RTDA_MODULE_UNIT,WORD,$M0010,RTDA_UNIT_RET
RTDB_MODULE_UNIT,WORD,$M0011,RTDB_UNIT_RET
SV_SYNC_CHECK,BIT,$200.0,
SYS_MACRO_BFFR_TAG1,WORD,$1000,
SYS_MACRO_BFFR_TAG2,WORD,$1001,
SYS_MACRO_BFFR_TAG3,WORD,$1002,
SYS_MACRO_BFFR_TAG4,WORD,$1003,
SYS_MACRO_BFFR_TAG5,WORD,$1004,
SYS_MACRO_BFFR_TAG6,WORD,$1005,
SYS_MACRO_BFFR_TAG7,WORD,$1006,
SYS_MACRO_BFFR_TAG8,WORD,$1007,
SYS_MACRO_BFFR_TAG9,WORD,$1008,
SYS_MACRO_BFFR_TAG10,WORD,$1009,
